"age","count","share"
"19",23812,4.15303367494297
"20",360239,62.8290230987645
"21",112175,19.5643605109494
"22",34018,5.93305474358348
"23",16194,2.82438381202866
"24",9489,1.65496961790416
"25+",17437,3.04117454182683
