occupation_code,occupation_wage_raw,occupation_wage_adjusted,occupation_pre_n
Managers,.4297638391962386,.1785917730356779,113
Professionals and related workers,.2766083985398298,.0978684887471008,7923
Clerical support workers,.217542535029494,.0473404968625534,7777
Service workers,-.2255758793009129,-.2516330647106926,2746
Sales workers,-.1483178045916236,-.1882810563567789,2666
"Skilled agricultural, forestry and fishery workers",.1026123260639974,-.0092956976216426,41
Craft and related trades workers,.1297188247533143,.0754230190795547,1725
Plant and machine operators and assemblers,.1729777532263979,.1075512976489459,2767
Elementary occupations,-.2332540969031799,-.1958974557221153,1996
