rel_cohort,pretrend_extrapolation,segmented_fitted_gap
-5,-.0207198211503545,-.020719821
-4,-.0325896644667029,-.032589663
-3,-.0444595077830513,-.044459507
-2,-.0563293510993997,-.056329351
-1,-.0681991944157481,-.068199195
0,-.0800690377320966,-.068192951
1,-.091938881048445,-.07056953
2,-.1038087243647934,-.072946116
3,-.1156785676811418,-.075322695
4,-.1275484109974902,-.077699274
5,-.1394182543138386,-.080075853
