outcome,enlist_age,rel_cohort,beta,se,lb,ub
qoe_income_deprivation50,20,-5,.0180475675436233,.0039586024,.010288849,.025806285
qoe_income_deprivation50,20,-4,.0169723357832501,.0018581526,.013330423,.020614248
qoe_income_deprivation50,20,-3,.0102328446069297,.0013609981,.0075653372,.012900352
qoe_income_deprivation50,20,-2,-.0126638119859593,.0013544983,-.01531858,-.010009044
qoe_income_deprivation50,20,-1,0,0,0,0
qoe_income_deprivation50,20,0,-.0215776442969387,.0023979996,-.026277637,-.016877651
qoe_income_deprivation50,20,1,-.011976500802424,.00071676413,-.013381333,-.010571669
qoe_income_deprivation50,20,2,-.0848897643273447,.003392566,-.09153907,-.078240454
qoe_income_deprivation50,20,3,-.0288556707808435,.0053243921,-.039291289,-.018420054
qoe_income_deprivation50,20,4,-.0860281734390003,.0027138973,-.091347314,-.080709033
qoe_income_deprivation50,20,5,-.0779796802077739,.003095499,-.084046744,-.071912616
