outcome_group,outcome,outcome_label,specification,omitted_cohort,full_beta,beta,cluster_se,webb_p,delta,pct_change,sign_flip,N,N_clusters,outcome_order,spec_order
Entry,employed,Employed,Intensity,1996,-.0135266333481863,-.014251322,.0043354565,.02810281,-.00072468858,-5.3574944,0,58278,10,2,2
Entry,employed,Employed,Intensity,1997,-.0135266333481863,-.013577689,.0038758619,.01590159,-.00005105649,-.37745157,0,58432,10,2,2
Entry,employed,Employed,Intensity,1998,-.0135266333481863,-.013456405,.0038150323,.02430243,.000070228118,.51918399,0,59223,10,2,2
Entry,employed,Employed,Intensity,1999,-.0135266333481863,-.014124366,.0040516858,.027702771,-.00059773267,-4.4189315,0,60045,10,2,2
Entry,employed,Employed,Intensity,2000,-.0135266333481863,-.012283601,.0045558717,.04570457,.0012430326,9.1895199,0,60401,10,2,2
Entry,employed,Employed,Intensity,2001,-.0135266333481863,-.012850371,.0042599533,.03430343,.00067626208,4.9994855,0,61588,10,2,2
Entry,employed,Employed,Intensity,2002,-.0135266333481863,-.015371928,.0036907771,.01910191,-.0018452951,-13.641939,0,62683,10,2,2
QoE,qoe_deprivation_score50,QoE deprivation score,Binary DiD,1992,-.0369160587913664,-.035429657,.0099691963,.00430043,.0014864038,4.0264421,0,26736,10,3,1
QoE,qoe_deprivation_score50,QoE deprivation score,Binary DiD,1993,-.0369160587913664,-.038258843,.009358108,.0030003001,-.0013427854,-3.6374021,0,26766,10,3,1
QoE,qoe_deprivation_score50,QoE deprivation score,Binary DiD,1994,-.0369160587913664,-.033120226,.0090196747,.0057005701,.0037958329,10.282335,0,27175,10,3,1
QoE,qoe_deprivation_score50,QoE deprivation score,Binary DiD,1995,-.0369160587913664,-.0379063,.0095330235,.0027002699,-.00099024293,-2.6824179,0,27560,10,3,1
QoE,qoe_deprivation_score50,QoE deprivation score,Binary DiD,1996,-.0369160587913664,-.036584046,.0098522482,.00310031,.0003320128,.89937228,0,27859,10,3,1
QoE,qoe_deprivation_score50,QoE deprivation score,Binary DiD,1997,-.0369160587913664,-.039431851,.01231568,.00110011,-.0025157928,-6.8149014,0,28380,10,3,1
QoE,qoe_deprivation_score50,QoE deprivation score,Binary DiD,1998,-.0369160587913664,-.044501558,.0093427058,.00130013,-.0075854976,-20.547962,0,28822,10,3,1
QoE,qoe_deprivation_score50,QoE deprivation score,Binary DiD,1999,-.0369160587913664,-.031685781,.0081054168,.00050005002,.0052302773,14.168027,0,29313,10,3,1
