outcome,enlist_age,rel_cohort,beta,se,lb,ub
qoe_conditions_deprivation,19,-6,.0520448414193766,.0024263759,.047289234,.056800451
qoe_conditions_deprivation,19,-5,.0121114590176831,.0017315921,.0087176012,.015505318
qoe_conditions_deprivation,19,-4,.0404701356325879,.0019374116,.036672879,.044267394
qoe_conditions_deprivation,19,-3,.0376526148502197,.0017719003,.034179755,.041125476
qoe_conditions_deprivation,19,-2,.0392613172569734,.0018017978,.035729859,.042792775
qoe_conditions_deprivation,19,-1,0,0,0,0
qoe_conditions_deprivation,19,0,.0126525413524781,.0014734763,.009764581,.015540502
qoe_conditions_deprivation,19,1,-.0306364148189432,.0014104669,-.033400878,-.027871951
qoe_conditions_deprivation,19,2,.001490699181118,.0020753269,-.0025768669,.0055582654
qoe_conditions_deprivation,19,3,-.0131154665156299,.0019230322,-.016884541,-.0093463929
qoe_conditions_deprivation,19,4,-.0002758326709394,.0012249203,-.0026766323,.0021249668
