outcome,enlist_age,rel_cohort,beta,se,lb,ub
employed,21,-4,.05114038786519,.0011118965,.04896111,.053319667
employed,21,-3,.0281325816293213,.0011633154,.025852526,.030412639
employed,21,-2,.0062472817517109,.0012879153,.0037230141,.008771549
employed,21,-1,0,0,0,0
employed,21,0,.0063228546439452,.00096760457,.0044263843,.008219325
employed,21,1,-.003466967775953,.0023356595,-.0080447756,.0011108405
employed,21,2,-.0065295997085802,.0022142141,-.010869379,-.0021898199
employed,21,3,-.0072486467150404,.0017072581,-.010594811,-.0039024823
employed,21,4,-.0249451920896672,.0014360065,-.027759712,-.022130672
employed,21,5,-.0248183069539666,.0015375334,-.027831817,-.021804797
employed,21,6,.0048201471267695,.0020524636,.00079739239,.0088429023
