outcome,enlist_age,rel_cohort,beta,se,lb,ub
entry_age,21,-4,.0194944317471884,.0036334845,.012372933,.026615931
entry_age,21,-3,.0590271728524735,.0019388198,.055227157,.062827192
entry_age,21,-2,.0529892308777374,.0026671221,.047761768,.058216695
entry_age,21,-1,0,0,0,0
entry_age,21,0,.1199496889989783,.0047405553,.11065837,.129241
entry_age,21,1,-.1240095776627524,.010136428,-.14387661,-.10414255
entry_age,21,2,-.1212203008696464,.0077462974,-.13640277,-.10603784
entry_age,21,3,-.263911845884818,.020492597,-.30407661,-.22374709
entry_age,21,4,-.1381323035915641,.015204207,-.167932,-.1083326
entry_age,21,5,-.2127694351651613,.01270699,-.23767468,-.18786418
entry_age,21,6,-.1952636030077651,.014256658,-.22320613,-.16732107
