outcome,enlist_age,rel_cohort,beta,se,lb,ub
employed,20,-5,.0448175332183575,.0011519241,.042559803,.047075264
employed,20,-4,.0218097269824892,.0014626627,.018942961,.024676492
employed,20,-3,-.0000755728951234,.0017291909,-.0034647249,.0033135791
employed,20,-2,-.0063228546496908,.00096760457,-.008219325,-.0044263843
employed,20,-1,0,0,0,0
employed,20,0,-.0097898224227814,.0018120621,-.013341399,-.0062382459
employed,20,1,-.0128524543554118,.0020634169,-.016896676,-.0088082319
employed,20,2,-.0135715013618734,.0019447167,-.017383076,-.0097599262
employed,20,3,-.0312680467364988,.0014352245,-.034081034,-.028455058
employed,20,4,-.0311411616007989,.0017579938,-.034586765,-.027695557
employed,20,5,-.0015027075200638,.0021071264,-.0056325994,.0026271844
