parameter,beta,cluster_se,rademacher_p,webb_p,joint_rademacher_p
Male relative level break,.0118760833844462,.011951817,.45703125,.46314633,.095703125
Male relative slope change,.0094932640458654,.0039348961,.095703125,.09480948,.095703125
