outcome,enlist_age,rel_cohort,beta,se,lb,ub
qoe_deprivation_score50,20,-5,.0128076802256981,.0028477591,.0072261747,.018389186
qoe_deprivation_score50,20,-4,-.0088880704380501,.0013601478,-.011553911,-.0062222299
qoe_deprivation_score50,20,-3,.0088784899045684,.00091354502,.0070879743,.010669005
qoe_deprivation_score50,20,-2,-.0075533425769711,.00097504794,-.0094644018,-.0056422837
qoe_deprivation_score50,20,-1,0,0,0,0
qoe_deprivation_score50,20,0,-.0263528471136266,.0021174564,-.030502986,-.022202708
qoe_deprivation_score50,20,1,-.0129803168187029,.00059521769,-.014146922,-.011813711
qoe_deprivation_score50,20,2,-.0670885825168504,.0028037874,-.072583906,-.061593261
qoe_deprivation_score50,20,3,-.0224331078601194,.0044164024,-.031089097,-.013777118
qoe_deprivation_score50,20,4,-.04951342936712,.0017245851,-.052893553,-.046133306
qoe_deprivation_score50,20,5,-.0660442833984503,.0024127983,-.070773281,-.061315287
