outcome,enlist_age,rel_cohort,beta,se,lb,ub
qoe_stability_deprivation,21,-4,.0159794623091772,.0016114617,.012821055,.019137869
qoe_stability_deprivation,21,-3,-.0080991755199993,.00055213051,-.0091813318,-.0070170197
qoe_stability_deprivation,21,-2,.0235813200692598,.00027989107,.023032743,.024129897
qoe_stability_deprivation,21,-1,0,0,0,0
qoe_stability_deprivation,21,0,.0083875133381992,.0005543463,.0073010144,.0094740121
qoe_stability_deprivation,21,1,-.0098320664486053,.002258176,-.01425801,-.0054061227
qoe_stability_deprivation,21,2,.0080318395889014,.0011839124,.0057114139,.010352265
qoe_stability_deprivation,21,3,-.0380907378092285,.0032995061,-.04455765,-.031623825
qoe_stability_deprivation,21,4,.0077144786144349,.0045979922,-.0012974202,.016726378
qoe_stability_deprivation,21,5,-.0017478175516352,.0021248937,-.005912533,.0024168978
qoe_stability_deprivation,21,6,-.0722285067215273,.0024827144,-.07709454,-.06736248
