year,male,wage_worker_n,complete_n,complete_rate,missing_income50,missing_nonperm,missing_continuity,missing_hours,missing_social,mean_income50,mean_nonperm,mean_no_continuity,mean_excess_hours,mean_no_social_insurance,mean_income_dimension50,mean_stability_dimension,mean_conditions_dimension,mean_qoe_score50,mean_multidim_deprived50,mean_qoe_score667,mean_multidim_deprived667
2015,0,738,711,.96341461,0,0,.036585364,0,0,.3769338959212377,.6638537271448663,.2067510548523207,.1125175808720112,.5218002812939522,.3769338959212377,.4353023909985935,.3171589310829817,.376465072667604,.58931082,.4341303328645099,.65260196
2015,1,484,451,.93181819,0,0,.06818182,0,0,.3924611973392461,.802660753880266,.3592017738359202,.2084257206208426,.6518847006651884,.3924611973392461,.5809312638580931,.4301552106430155,.4678492239467847,.76053214,.5306725794530669,.78713971
2016,0,952,941,.9884454,0,0,.011554622,0,0,.3315621679064825,.6004250797024442,.2104144527098831,.1147715196599362,.4325185972369819,.3315621679064825,.4054197662061637,.2736450584484591,.336875664187035,.50053138,.3864682961388592,.56960678
2016,1,593,572,.96458685,0,0,.035413153,0,0,.3391608391608392,.763986013986014,.2744755244755245,.1923076923076923,.5751748251748252,.3391608391608392,.5192307692307693,.3837412587412588,.4140442890442883,.68531471,.4740675990675987,.72202796
2017,0,1141,1129,.98948294,0,0,.010517091,0,0,.2843224092116918,.5438441098317095,.1567759078830824,.095659875996457,.4021257750221435,.2843224092116918,.3503100088573959,.2488928255093003,.2945084145261294,.46324182,.3364334219072935,.51107174
2017,1,708,682,.96327686,0,0,.036723163,0,0,.2844574780058651,.6627565982404692,.2331378299120234,.1715542521994135,.4912023460410557,.2844574780058651,.4479472140762463,.3313782991202346,.3545943304007823,.59237534,.4020039100684264,.62903225
2018,0,1294,1281,.98995364,0,0,.010046368,0,0,.2443403590944574,.5292740046838408,.1678376268540203,.0772833723653396,.3708040593286495,.2443403590944574,.3485558157689305,.2240437158469945,.2723132969034611,.43481654,.3027582617746556,.45823574
2018,1,905,873,.96464086,0,0,.035359114,0,0,.2359679266895762,.584192439862543,.2302405498281787,.1695303550973654,.413516609392898,.2359679266895762,.4072164948453608,.2915234822451317,.3115693012600228,.51431847,.3402061855670103,.53264606
2019,0,1444,1431,.99099725,0,0,.0090027703,0,0,.2725366876310272,.5073375262054507,.2026554856743536,.0726764500349406,.3745632424877708,.2725366876310272,.3549965059399022,.2236198462613557,.2837176799440957,.44514325,.3011879804332644,.45562544
2019,1,1156,1118,.96712804,0,0,.032871973,0,0,.2155635062611807,.5447227191413238,.2200357781753131,.1511627906976744,.3783542039355993,.2155635062611807,.3823792486583184,.2647584973166369,.2875670840787123,.47674417,.3039654144305313,.490161
2020,0,1603,1585,.98877108,0,0,.011228946,0,0,.2719242902208202,.501577287066246,.1943217665615142,.0542586750788644,.3324921135646688,.2719242902208202,.3479495268138801,.1933753943217666,.2710830704521561,.40757099,.2834910620399586,.41703469
2020,1,1348,1296,.96142435,0,0,.038575668,0,0,.1936728395061728,.4938271604938271,.1851851851851852,.1226851851851852,.3117283950617284,.1936728395061728,.3395061728395062,.2172067901234568,.2501286008230452,.40817901,.2635030864197528,.41820988
2021,0,1898,1874,.98735511,0,0,.01264489,0,0,.2417289220917823,.48025613660619,.1942369263607257,.0544290288153682,.3062966915688367,.2417289220917823,.3372465314834578,.1803628601921025,.2531127712557814,.39487725,.2684098185699048,.40768409
2021,1,1515,1465,.96699673,0,0,.0330033,0,0,.1563139931740614,.447098976109215,.1590443686006826,.1126279863481229,.2552901023890785,.1563139931740614,.3030716723549488,.1839590443686007,.2144482366325367,.34402731,.2324232081911263,.35836178
2022,0,1925,1909,.99168831,0,0,.008311688,0,0,.1974855945521215,.4091147197485595,.1540073336825563,.0518596123624935,.2514405447878471,.1974855945521215,.2815610267155579,.1516500785751702,.2102322332809502,.33053955,.2242011524358309,.34468308
2022,1,1797,1755,.97662771,0,0,.023372287,0,0,.1333333333333333,.4085470085470085,.1498575498575499,.1356125356125356,.2262108262108262,.1333333333333333,.2792022792022792,.1809116809116809,.1978157644824313,.32022792,.212820512820513,.33276352
2023,0,2003,1992,.99450827,0,0,.0054917624,0,0,.1606425702811245,.3795180722891566,.1395582329317269,.0612449799196787,.2309236947791165,.1606425702811245,.2595381526104418,.1460843373493976,.1887550200803217,.30170682,.2009705488621156,.31375501
2023,1,1942,1907,.98197734,0,0,.018022656,0,0,.1237545883586786,.3681174619821709,.1295228106974305,.1305715783953854,.2108023072889355,.1237545883586786,.2488201363398007,.1706869428421605,.1810872225135466,.29050866,.1917496941094215,.30047193
2024,0,2054,2048,.9970789,0,0,.0029211296,0,0,.1416015625,.36376953125,.125,.048828125,.20947265625,.1416015625,.244384765625,.129150390625,.1717122395833339,.27001953,.187337239583334,.28857422
2024,1,2047,2010,.98192477,0,0,.018075231,0,0,.1164179104477612,.3378109452736319,.1069651741293532,.1144278606965174,.2019900497512438,.1164179104477612,.2223880597014925,.1582089552238806,.1656716417910452,.25721392,.1742951907131016,.26616916
2025,0,2099,2090,.99571222,0,0,.004287756,0,0,.1052631578947368,.3416267942583732,.1277511961722488,.0440191387559809,.1727272727272727,.1052631578947368,.234688995215311,.1083732057416268,.1494417862838915,.24641149,.16555023923445,.26985645
2025,1,2228,2191,.98339319,0,0,.016606823,0,0,.0940209949794614,.3204016430853491,.1136467366499315,.1145595618439069,.1843906891830215,.0940209949794614,.2170241898676404,.1494751255134642,.1535067701201888,.24098586,.1624828845276131,.24874486
