outcome,female_change,female_se,female_p,male_change,male_se,male_p,relative_change,relative_se,relative_p,N
Adjusted occupation wage,-.0790642955871458,.013382358,.00014941837,-.054148819,.011575119,.00087010843,.024915475,.0042523784,.00015961264,31874
Adjusted QoE score,.062323924328537,.010412059,.00013464614,.041718222,.0088982238,.00085654506,-.020605704,.0035744859,.00018149416,31874
Adjusted QoE income,.0602880606537184,.010268845,.00015709049,.041409023,.0086919786,.00076386752,-.018879035,.0032408866,.00016711924,31874
Adjusted QoE stability,.0560796764499009,.0092331804,.00011978472,.039175119,.0083571961,.00085756677,-.016904557,.0034964392,.00068683067,31874
Adjusted QoE conditions,.0706040347765325,.011738357,.00012952657,.044570517,.0096794534,.00097316387,-.026033517,.0041036061,.000084159285,31874
