outcome,enlist_age,rel_cohort,beta,se,lb,ub
qoe_stability_deprivation,19,-6,.0258115287577056,.0021312989,.02163426,.029988797
qoe_stability_deprivation,19,-5,.0017328909285291,.0021724179,-.0025249701,.005990752
qoe_stability_deprivation,19,-4,.0334133865177883,.002312982,.028880024,.037946749
qoe_stability_deprivation,19,-3,.0098320664484694,.002258176,.0054061227,.01425801
qoe_stability_deprivation,19,-2,.0182195797867277,.0022715109,.0137675,.022671659
qoe_stability_deprivation,19,-1,0,0,0,0
qoe_stability_deprivation,19,0,.0178639060374298,.0021595005,.013631362,.02209645
qoe_stability_deprivation,19,1,-.0282586713607,.0023420008,-.032848909,-.023668434
qoe_stability_deprivation,19,2,.0175465450629634,.0024970148,.012652486,.022440605
qoe_stability_deprivation,19,3,.0080842488968932,.0031261228,.0019571607,.014211337
qoe_stability_deprivation,19,4,-.0623964402729987,.0018359929,-.065994918,-.058797959
