outcome,event_bin,bin_label,beta,cluster_se,wild_p,wild_ci_lb,wild_ci_ub
qoe_income_deprivation50,0,"Early pre (k=-5,-4)",.0164873866099234,.002701262,.18945313,-.10417524,4.0060935
qoe_income_deprivation50,1,"Near pre (k=-3,-2)",-.0024566157136923,.0082804887,.52441406,-6.9252424,.93173987
qoe_income_deprivation50,2,Reference (k=-1),0,0,,,
qoe_income_deprivation50,3,"Partial reduction (k=0,1,2)",-.0354906609906202,.016860899,.38867188,-.19356109,.038746215
qoe_income_deprivation50,4,"Full reduction (k=3,4,5)",-.0557451420783897,.018030047,.11523438,-.12166067,.0061390074
